parquet_file,row_idx,source_class,label,valid,width,height,format,mode,file_size,sha256,error,keep
train_0.parquet,0,2,1,True,320,320,JPEG,RGB,14831,5b677f88399943fa9b866719ad899638d5186093b297495cb699617c8fac84a3,,True
train_0.parquet,1,1,1,True,320,320,JPEG,RGB,21936,3e06a7e95a5935e82a23adb426d6b2e1f1e0734f2f176d7d11e50b74460a50c3,,True
train_0.parquet,2,2,1,True,320,320,JPEG,RGB,30340,54cb5a59299fe73e8305d466922f69d84a7648ef337b800c8e7ca5e8028a7c96,,True
train_0.parquet,3,0,0,True,640,480,JPEG,RGB,63966,a1767dd54b1e47db7b4725ca1bad17dfca4df21c61cdc43538817f6e4d5e42e0,,True
train_0.parquet,4,1,1,True,320,320,JPEG,RGB,26624,6e0fd81a4bcb014b9f2e89fd90e675d42e54f1f2e10c24825691b028019884b3,,True
train_0.parquet,5,3,1,True,320,320,JPEG,RGB,25814,31f810db4dfb010359d1240532e0269feabe401b1f174e4b4379358d9f4e95d3,,True
train_0.parquet,6,0,0,True,640,427,JPEG,RGB,43061,6e86871ff1bcc01bc7052dce9f8acaa104597a69d8ca48f7317431c294efd833,,True
train_0.parquet,7,1,1,True,320,320,JPEG,RGB,36109,f9f581cf778dce49529fb26384f83cc8299df32dd4e721f23d06dfaad420fcbb,,True
train_0.parquet,8,3,1,True,320,320,JPEG,RGB,34115,6dea74619db91d879e4f6d22ec345de4cc38679e65e5c53cc21718969f3bd50d,,True
train_0.parquet,9,2,1,True,320,320,JPEG,RGB,17281,785ed028e44f2a16bdd0fd8e2dabc530f19b9f3f8c79baf3060635841dcaa049,,True
train_0.parquet,10,2,1,True,320,320,JPEG,RGB,21463,baf9ae1eb60f6fbd7848ce994c3833e22eee675f79d065a1fda8459d5c58e8b8,,True
train_0.parquet,11,3,1,True,320,320,JPEG,RGB,25887,8892f23847a1e1c6f421818d8c20ca7d638f9083b8b039f0926faa7213c0970b,,True
train_0.parquet,12,5,1,True,320,320,JPEG,RGB,33587,814fb63734bd0b8fe0fe2311f5e483a623af027b5cff9fb0e56b026056a4440f,,True
train_0.parquet,13,0,0,True,640,480,JPEG,RGB,68536,0e11b2673733f8faf6175387284de8b4d0b15bd617009bf3834002937a4f09a6,,True
train_0.parquet,14,2,1,True,320,320,JPEG,RGB,31741,d8bc442d8a6269f401f308c82e929fc920298534cd4a43aa860de8dd91c38252,,True
train_0.parquet,15,1,1,True,320,320,JPEG,RGB,45959,6b06f49f12e9ce25ee6278df2bea72a0b8cfb1951ca031a5fbb1cac256fa5ba4,,True
train_0.parquet,16,2,1,True,320,320,JPEG,RGB,18330,9afa6d0db2a388c9a142365370dd8f1fe2aef3617d9f2781e848538c5212cf32,,True
train_0.parquet,17,2,1,True,320,320,JPEG,RGB,31375,fb511b86c0baec92e8d003da39c07a0a829b60ade411d655de2ecbd8621c9323,,True
train_0.parquet,18,5,1,True,320,320,JPEG,RGB,21973,241473e6ee2e40eeb700db8fd1faa300dbeb851c7aa01dd4ab38e4ecd5812a35,,True
train_0.parquet,19,2,1,True,320,320,JPEG,RGB,17836,27b71d2e17f7050cd89552adf6f07bbdc83794e218014e7485408a32bb5fb644,,True
train_0.parquet,20,3,1,True,320,320,JPEG,RGB,19401,a9ffacaae6703902584248c549bf51b796cd3cb08b4a3d3ba6f31c702aa98e15,,True
train_0.parquet,21,5,1,True,320,320,JPEG,RGB,31279,630907faf0903402cd426fc34b8f58918bda72e2f69b667de753ff71434d4b1f,,True
train_0.parquet,22,4,1,True,270,270,JPEG,RGB,17017,aaf2c5654fb6cde70a025b4a72e32a90145631721c003b0eea8714375ff87fc3,,True
train_0.parquet,23,0,0,True,480,640,JPEG,RGB,28598,17aff942b2147ded73eecd5db91ba9b7a206bad3f9b0ee0dd15e8c9249777ad3,,True
train_0.parquet,24,3,1,True,320,320,JPEG,RGB,24149,fa044513a42f73aa079a4cd3bc1f92fc8c8e574ff053cb173a2251034010c0df,,True
train_0.parquet,25,0,0,True,640,480,JPEG,RGB,64779,c3e013ef7f409c4c3571be66943c44b76afe04850a1c9897fa16853ee51d2ad6,,True
train_0.parquet,26,5,1,True,320,320,JPEG,RGB,34024,3a71283c374ebcf7f38ca2a5d249408ed7823e079001cae6e981c74d9bdc09e8,,True
train_0.parquet,27,0,0,True,480,640,JPEG,RGB,37455,1be0721339015d2b8fdea8b736bc13fc423de60dd0a65424712e3558b4b04013,,True
train_0.parquet,28,1,1,True,320,320,JPEG,RGB,55411,1a79ca6d270428f4aadedfc2fcec3d6b4ed8b832a7affb4f3f512c4d5aef0cf7,,True
train_0.parquet,29,4,1,True,270,270,JPEG,RGB,13465,32516dbe14c4f61d140730c18f42b72e7e08c5c4f1d0c7256f833488da74d473,,True
train_0.parquet,30,4,1,True,270,270,JPEG,RGB,17680,1f251e112afb8a6ed0b929da8356d74a2ca628b490cd761280fe06df2c88ca2c,,True
train_0.parquet,31,5,1,True,320,320,JPEG,RGB,27517,d5db93ed0323263ab74add719bb910816d01fe99d8c4d79c4f8623dff016eea3,,True
train_0.parquet,32,1,1,True,320,320,JPEG,RGB,43332,fd5c16b23196add9df1eb53622081064a51b9949f9a96171b0852e3bc4fc6151,,True
train_0.parquet,33,1,1,True,320,320,JPEG,RGB,52410,19e71e3f264cdea0cf0a0bb0a17ad89ee25ff400cc7e1a2fa4f20629dc6bfe5f,,True
train_0.parquet,34,3,1,True,320,320,JPEG,RGB,15548,b73dc4245b91f7f4e13a0fc28a1fcfbb6e5a37bfe7cd07753d54aa6f9867f25c,,True
train_0.parquet,35,1,1,True,320,320,JPEG,RGB,44221,702d83ad1f508e74c690662407f76710d4528fa08a4b8f458f06b09c1d464f36,,True
train_0.parquet,36,2,1,True,320,320,JPEG,RGB,26851,4dba4368bd5ef1d77c80dda74a88405322f7627b81f184ef281be61d07cb1572,,True
train_0.parquet,37,0,0,True,640,426,JPEG,RGB,45285,7a520690b7f22c70bc2fbf9ae12d794d0b5dd262733247f82c3aa10ad83c3dcd,,True
train_0.parquet,38,1,1,True,320,320,JPEG,RGB,25748,6af434e6bcff3061b895a0ae25d214f60165ae089823c98b2d43754ba5e2f219,,True
train_0.parquet,39,4,1,True,270,270,JPEG,RGB,20742,638bd0d20ddee4026509898d9732f3193d653550a90b501bcb2c319cfbada956,,True
train_0.parquet,40,5,1,True,320,320,JPEG,RGB,28730,ed61f7170632559b31495e99a09048a425a1a6efc77167054b524edfbb19131c,,True
train_0.parquet,41,2,1,True,320,320,JPEG,RGB,28825,9c0c6f88a58841fdaa8fd982ec6ee08470669cdae16ca24f64ef00b8d70837a0,,True
train_0.parquet,42,2,1,True,320,320,JPEG,RGB,37393,3e8d7ca04d9a7637faa88f2fd76a393b5f12e49a9c43f724b2e3b8e4d9219556,,True
train_0.parquet,43,5,1,True,320,320,JPEG,RGB,21244,fd12d7c3746657f8b23912a45ad44de07ffbe82c7b3edcd5ab9407f7343fd115,,True
train_0.parquet,44,1,1,True,320,320,JPEG,RGB,44908,3facc282ad2808e55924581524b02301e7623aad1b19cf82a87bd422471c451b,,True
train_0.parquet,45,2,1,True,320,320,JPEG,RGB,33373,0924405511a8543f5b6afb58802a92b1944108bf79382860d47792cdbf620137,,True
train_0.parquet,46,0,0,True,640,516,JPEG,RGB,42162,d4641a5bfbf1aa98d26b725b94af0b21005425552a8c3df29e21c528122eee5f,,True
train_0.parquet,47,5,1,True,320,320,JPEG,RGB,25775,fac2b70bb8cce6dff51211b3cd07fb9c4b8ae3f24f7cdb41a1d38e048944f4dd,,True
train_0.parquet,48,0,0,True,361,640,JPEG,RGB,25294,135bb1f46bca665ac27c6816b593e6952a8ea6f4f9367249673fad1c6a71a8a5,,True
